"IDself"	"IDother"
11435	11436
11435	11452
11435	98937
11435	11417
11435	98938
11435	98939
11435	11439
11435	11465
11435	11435
11435	11445
11435	11444
11435	98941
11451	11453
11451	98936
11451	11410
11451	11420
11451	98940
11451	11499
11451	98941
11451	98942
11452	11436
11452	11452
11452	98937
11452	11417
11452	98938
11452	98939
11452	11439
11452	11465
11452	11435
11452	11445
11452	11444
11452	98941
11445	11417
11445	11439
11445	11435
11445	11444
11445	98941
11422	11420
11422	11419
11422	11451
11422	98942
11415	98937
11415	11439
11415	11435
11415	98941
11444	98938
11444	98939
11444	11439
11444	11465
11444	11435
11444	11445
11456	11453
11456	98936
11456	11419
11456	11499
11453	98936
11453	11456
11453	11419
11453	11451
11453	11499
11436	11453
11436	11417
11436	11456
11436	11427
11436	11410
11436	11460
11436	11464
11436	11420
11436	11435
11436	11451
11436	11449
11436	11499
11460	11427
11460	11410
11460	11464
11460	11420
11460	98940
11460	11419
11460	11449
11460	98942
11439	11436
11439	11452
11439	98937
11439	11417
11439	98938
11439	98939
11439	11439
11439	11465
11439	11435
11439	11445
11439	11444
11439	98941
11449	98936
11449	11427
11449	11410
11449	11460
11449	11464
11449	98940
11449	11419
11449	11499
11449	98942
11499	11453
11499	98936
11499	11427
11499	11460
11499	11464
11499	11420
11499	98940
11499	11419
11499	11449
11499	98942
11465	11436
11465	11452
11465	98937
11465	11417
11465	98938
11465	98939
11465	11439
11465	11465
11465	11435
11465	11445
11465	11444
11465	98941
11420	98936
11420	11427
11420	11410
11420	11460
11420	11464
11420	98940
11420	11419
11420	11451
11420	11449
11420	11499
11420	98942
11464	98936
11464	11427
11464	11410
11464	11460
11464	11420
11464	98940
11464	11419
11464	11449
11464	11499
11464	98942
11417	11436
11417	98937
11417	98938
11417	98939
11417	11439
11417	11465
11417	11435
11417	11445
11417	11444
11417	98941
