"IDself"	"IDother"
12641	12644
12641	88881
12641	12614
12641	88883
12641	12638
12641	12650
12641	12641
12641	12639
12641	12602
12641	12642
12641	12637
12641	12634
12641	12636
12641	12640
12649	12629
12649	12632
12649	12637
12640	88883
12640	12639
12640	12637
12640	12627
12640	12636
12640	12640
12629	88881
12629	12632
12629	12649
12637	12641
12637	12625
12637	12639
12637	12642
12637	12607
12637	12637
12637	12636
12637	12640
12636	88883
12636	12631
12636	12641
12636	12639
12636	12642
12636	12637
12636	12627
12636	12640
12627	88883
12627	12631
12627	88884
12627	12639
12627	12642
12627	12637
12627	12636
12627	12640
12646	88883
12646	12646
12646	12648
12646	12650
12646	12647
12646	12645
12628	12644
12628	12614
12628	12638
12628	12630
12628	12635
12631	12644
12631	12614
12631	88883
12631	12638
12631	12613
12631	12630
12631	12626
12631	12641
12631	12642
12631	12607
12631	12637
12631	12627
12631	12636
12631	12640
12644	12644
12644	88881
12644	88883
12644	12638
12644	12630
12644	12650
12644	12628
12644	12641
12644	12612
12644	12611
12644	12602
12644	88885
12639	88883
12639	12641
12639	12639
12639	12637
12639	12636
12639	12640
12638	12644
12638	12631
12638	12630
12638	12628
12638	12635
12638	NA
12638	12636
12638	12640
12650	12644
12650	12646
12650	12648
12650	12650
12650	12641
12650	12633
12650	12647
12650	12602
12650	88885
12650	12645
12647	12646
12647	12648
12647	12626
12647	12645
12635	12644
12635	12614
12635	12638
12635	12613
12635	12630
12635	12628
12635	12611
12635	12607
12635	NA
12635	12636
12645	12646
12645	12648
12645	12626
12645	12650
12645	12647
12645	12607
12645	12645
12633	12646
12633	12648
12633	88882
12633	12626
12633	12650
12633	12625
12633	12632
12633	12647
12633	12607
12633	12645
12633	12634
12633	12636
12633	12640
12626	12606
12626	12646
12626	88882
12626	12625
12626	12633
12626	12642
12626	12607
12626	12637
12626	12634
7808	88881
7808	12606
7808	12605
7808	88882
7808	12626
7808	12617
7808	12639
7808	12633
7808	12618
7808	12607
7808	12634
7808	12610
7808	12619
12632	12629
12632	12632
12632	12649
12632	12637
12625	12606
12625	88882
12625	12626
12625	12637
12642	88881
12642	88883
12642	12631
12642	12626
12642	12641
12642	12612
12642	12639
12642	12632
12642	12602
12642	12642
12642	88886
12642	12607
12642	12649
12642	12645
12642	12637
12642	12634
12642	12627
12642	12636
12642	12640
12630	12644
12630	12614
12630	12638
12630	12613
12630	12628
12630	12639
12630	12635
12630	12640
12623	88881
12623	12624
12623	88884
12623	88886
12610	12617
12610	12620
12610	12612
12610	12611
12610	12618
12610	12637
12610	12634
12610	12619
12624	88881
12624	12623
12624	88884
12624	88886
12602	12644
12602	12623
12602	12638
12602	12624
12602	12641
12602	12611
12602	12635
12602	88885
12608	12646
12608	12620
12608	12607
12608	12645
12608	12634
12615	12614
12615	12638
12615	12613
12615	12617
12615	12620
12615	12612
12615	12635
12615	12634
12615	12610
12615	NA
12615	12636
12615	12640
12615	12619
12620	12614
12620	12617
12620	12620
12620	12612
12620	12618
12620	88885
12620	12610
12620	NA
12620	12608
12620	12619
12617	12614
12617	12613
12617	12617
12617	12620
12617	12633
12617	12618
12617	12602
12617	88885
12617	12607
12617	12634
12617	12610
12617	12619
12618	12614
12618	12613
12618	12617
12618	12620
12618	12612
12618	12611
12618	12607
12618	12634
12618	12610
12618	12619
12614	12638
12614	12613
12614	12630
12614	12628
12614	12635
12614	NA
12611	12644
12611	12613
12611	12617
12611	12620
12611	12612
12611	12639
12611	12611
12611	12618
12611	12635
12611	12602
12611	12607
12611	12627
12611	12610
12612	12617
12612	12620
12612	12611
12612	12618
12612	88885
12612	12642
12612	12627
12612	12610
12612	12619
12613	12644
12613	12614
12613	12638
12613	12631
12613	88884
12613	12630
12613	12628
12613	12611
12613	12635
12613	88886
12606	12606
12606	12605
12606	88882
12606	12626
12606	12625
12606	12634
12619	12617
12619	12620
12619	12618
12619	12634
12619	12610
12619	12619
12605	12606
12605	12605
12605	88882
12605	12626
12605	12634
12607	88882
12607	12626
12607	12635
12607	12647
12607	12642
12607	12645
12607	12637
12607	12634
12607	12608
12648	12646
12648	12626
12648	12650
12648	12641
12648	12647
12648	12607
12648	12645
12648	12634
