"IDself","IDother","social_info","gender_social_info","treatment","charity_social_info","choice","status_social_info","age","gender","classNr","agepeer","gender_diff","choice_round1","wave","inDegree","inDegreepeer","stdinDegree","stdinDegreepeer"
10083,10035,1,"male",2,"Prins Bernhard Cultuurfonds",0,"H",15,"male",100,14,1,1,"2019",7,11,0.18690228437106,1.60735964559112
10083,10035,1,"male",3,"Global Witness",0,"H",15,"male",100,14,1,0,"2019",7,11,0.18690228437106,1.60735964559112
10083,10035,0,"male",1,"Amnesty International",0,"H",15,"male",100,14,1,1,"2019",7,11,0.18690228437106,1.60735964559112
10083,10099,0,"female",1,"ALS Nederland",1,"H",15,"male",100,14,0,1,"2019",7,6,0.18690228437106,-0.168212055933954
10083,10099,1,"female",3,"Right To Play",0,"H",15,"male",100,14,0,0,"2019",7,6,0.18690228437106,-0.168212055933954
10083,10099,1,"female",2,"VluchtelingenWerk Nederland",0,"H",15,"male",100,14,0,1,"2019",7,6,0.18690228437106,-0.168212055933954
10083,10010,0,"male",2,"Het Rode Kruis",0,"L",15,"male",100,15,1,0,"2019",7,2,0.18690228437106,-1.58866941715401
10083,10010,0,"male",1,"Cliniclowns",1,"L",15,"male",100,15,1,1,"2019",7,2,0.18690228437106,-1.58866941715401
10083,10010,1,"male",3,"Clinton Foundation",0,"L",15,"male",100,15,1,0,"2019",7,2,0.18690228437106,-1.58866941715401
10083,10085,1,"female",3,"European Climate Foundation",0,"L",15,"male",100,14,0,0,"2019",7,3,0.18690228437106,-1.233555076849
10083,10085,0,"female",1,"World Animal Protection",0,"L",15,"male",100,14,0,1,"2019",7,3,0.18690228437106,-1.233555076849
10083,10085,0,"female",2,"HandicapNL",0,"L",15,"male",100,14,0,0,"2019",7,3,0.18690228437106,-1.233555076849
10053,10010,1,"male",2,"European Climate Foundation",1,"L",14,"male",100,15,1,1,"2019",10,2,1.2522453052861,-1.58866941715401
10053,10010,0,"male",1,"Cliniclowns",0,"L",14,"male",100,15,1,1,"2019",10,2,1.2522453052861,-1.58866941715401
10053,10010,1,"male",3,"Girls Not Brides",0,"L",14,"male",100,15,1,0,"2019",10,2,1.2522453052861,-1.58866941715401
10053,10085,0,"female",1,"Artsen zonder Grenzen",1,"L",14,"male",100,14,0,1,"2019",10,3,1.2522453052861,-1.233555076849
10053,10085,1,"female",2,"Clinton Foundation",0,"L",14,"male",100,14,0,1,"2019",10,3,1.2522453052861,-1.233555076849
10053,10085,1,"female",3,"HandicapNL",0,"L",14,"male",100,14,0,0,"2019",10,3,1.2522453052861,-1.233555076849
10053,10075,1,"female",3,"Aidsfonds",0,"H",14,"male",100,15,0,0,"2019",10,5,1.2522453052861,-0.523326396238968
10053,10075,1,"female",2,"Cordaid",1,"H",14,"male",100,15,0,1,"2019",10,5,1.2522453052861,-0.523326396238968
10053,10075,0,"female",1,"Het Rode Kruis",1,"H",14,"male",100,15,0,1,"2019",10,5,1.2522453052861,-0.523326396238968
10053,10019,1,"male",2,"Diabetes Fonds",0,"H",14,"male",100,16,1,1,"2019",10,9,1.2522453052861,0.897130964981089
10053,10019,1,"male",3,"Right To Play",1,"H",14,"male",100,16,1,0,"2019",10,9,1.2522453052861,0.897130964981089
10053,10019,0,"male",1,"Johan Cruyff Foundation",0,"H",14,"male",100,16,1,1,"2019",10,9,1.2522453052861,0.897130964981089
10035,10010,0,"male",2,"World Press Photo",0,"L",14,"male",100,15,1,0,"2019",11,2,1.60735964559112,-1.58866941715401
10035,10010,1,"male",3,"Amnesty International",1,"L",14,"male",100,15,1,0,"2019",11,2,1.60735964559112,-1.58866941715401
10035,10010,0,"male",1,"Global Witness",1,"L",14,"male",100,15,1,1,"2019",11,2,1.60735964559112,-1.58866941715401
10035,10085,1,"female",3,"Alzheimer Nederland",0,"L",14,"male",100,14,0,0,"2019",11,3,1.60735964559112,-1.233555076849
10035,10085,0,"female",1,"Cordaid",0,"L",14,"male",100,14,0,1,"2019",11,3,1.60735964559112,-1.233555076849
10035,10085,1,"female",2,"Voedselbanken Nederland",1,"L",14,"male",100,14,0,1,"2019",11,3,1.60735964559112,-1.233555076849
10035,10075,1,"female",3,"Aidsfonds",1,"H",14,"male",100,15,0,0,"2019",11,5,1.60735964559112,-0.523326396238968
10035,10075,1,"female",2,"Diabetes Fonds",1,"H",14,"male",100,15,0,1,"2019",11,5,1.60735964559112,-0.523326396238968
10035,10075,0,"female",1,"Clinton Foundation",1,"H",14,"male",100,15,0,1,"2019",11,5,1.60735964559112,-0.523326396238968
10035,10019,0,"male",2,"Girls Not Brides",1,"H",14,"male",100,16,1,0,"2019",11,9,1.60735964559112,0.897130964981089
10035,10019,0,"male",1,"Johan Cruyff Foundation",1,"H",14,"male",100,16,1,1,"2019",11,9,1.60735964559112,0.897130964981089
10035,10019,1,"male",3,"Plan International Nederland",1,"H",14,"male",100,16,1,0,"2019",11,9,1.60735964559112,0.897130964981089
10042,10099,0,"female",1,"Diabetes Fonds",0,"H",14,"male",100,14,0,1,"2019",10,6,1.2522453052861,-0.168212055933954
10042,10099,1,"female",3,"Clinton Foundation",1,"H",14,"male",100,14,0,0,"2019",10,6,1.2522453052861,-0.168212055933954
10042,10099,0,"female",2,"Free Press Unlimited",0,"H",14,"male",100,14,0,0,"2019",10,6,1.2522453052861,-0.168212055933954
10042,10085,1,"female",3,"Plan International Nederland",0,"L",14,"male",100,14,0,0,"2019",10,3,1.2522453052861,-1.233555076849
10042,10085,0,"female",1,"World Animal Protection",1,"L",14,"male",100,14,0,1,"2019",10,3,1.2522453052861,-1.233555076849
10042,10085,0,"female",2,"World Press Photo",0,"L",14,"male",100,14,0,0,"2019",10,3,1.2522453052861,-1.233555076849
10042,10010,1,"male",3,"Dance4Life",0,"L",14,"male",100,15,1,0,"2019",10,2,1.2522453052861,-1.58866941715401
10042,10010,1,"male",2,"Amnesty International",1,"L",14,"male",100,15,1,1,"2019",10,2,1.2522453052861,-1.58866941715401
10042,10010,0,"male",1,"Johan Cruyff Foundation",1,"L",14,"male",100,15,1,1,"2019",10,2,1.2522453052861,-1.58866941715401
10042,10019,0,"male",1,"Prins Bernhard Cultuurfonds",0,"H",14,"male",100,16,1,1,"2019",10,9,1.2522453052861,0.897130964981089
10042,10019,1,"male",2,"Aidsfonds",1,"H",14,"male",100,16,1,1,"2019",10,9,1.2522453052861,0.897130964981089
10042,10019,1,"male",3,"Girls Not Brides",1,"H",14,"male",100,16,1,0,"2019",10,9,1.2522453052861,0.897130964981089
10087,10035,1,"male",2,"Girls Not Brides",0,"H",14,"female",100,14,0,1,"2019",5,11,-0.523326396238968,1.60735964559112
10087,10035,0,"male",1,"Amnesty International",1,"H",14,"female",100,14,0,1,"2019",5,11,-0.523326396238968,1.60735964559112
10087,10035,1,"male",3,"VluchtelingenWerk Nederland",0,"H",14,"female",100,14,0,0,"2019",5,11,-0.523326396238968,1.60735964559112
10087,10010,1,"male",2,"Aidsfonds",0,"L",14,"female",100,15,0,1,"2019",5,2,-0.523326396238968,-1.58866941715401
10087,10010,1,"male",3,"ALS Nederland",0,"L",14,"female",100,15,0,0,"2019",5,2,-0.523326396238968,-1.58866941715401
10087,10010,0,"male",1,"Cliniclowns",1,"L",14,"female",100,15,0,1,"2019",5,2,-0.523326396238968,-1.58866941715401
10087,10075,0,"female",1,"Het Rode Kruis",0,"H",14,"female",100,15,1,1,"2019",5,5,-0.523326396238968,-0.523326396238968
10087,10075,1,"female",3,"Diabetes Fonds",0,"H",14,"female",100,15,1,0,"2019",5,5,-0.523326396238968,-0.523326396238968
10087,10075,1,"female",2,"World Press Photo",0,"H",14,"female",100,15,1,1,"2019",5,5,-0.523326396238968,-0.523326396238968
10087,10085,1,"female",3,"HandicapNL",0,"L",14,"female",100,14,1,0,"2019",5,3,-0.523326396238968,-1.233555076849
10087,10085,0,"female",1,"Artsen zonder Grenzen",0,"L",14,"female",100,14,1,1,"2019",5,3,-0.523326396238968,-1.233555076849
10087,10085,0,"female",2,"Free Press Unlimited",0,"L",14,"female",100,14,1,0,"2019",5,3,-0.523326396238968,-1.233555076849
10075,10010,0,"male",1,"Diabetes Fonds",0,"L",15,"female",100,15,0,1,"2019",5,2,-0.523326396238968,-1.58866941715401
10075,10010,0,"male",2,"World Press Photo",0,"L",15,"female",100,15,0,0,"2019",5,2,-0.523326396238968,-1.58866941715401
10075,10010,1,"male",3,"Voedselbanken Nederland",1,"L",15,"female",100,15,0,0,"2019",5,2,-0.523326396238968,-1.58866941715401
10075,10085,0,"female",2,"Right To Play",1,"L",15,"female",100,14,1,0,"2019",5,3,-0.523326396238968,-1.233555076849
10075,10085,1,"female",3,"ALS Nederland",1,"L",15,"female",100,14,1,0,"2019",5,3,-0.523326396238968,-1.233555076849
10075,10085,0,"female",1,"Artsen zonder Grenzen",1,"L",15,"female",100,14,1,1,"2019",5,3,-0.523326396238968,-1.233555076849
10075,10099,0,"female",1,"Cordaid",0,"H",15,"female",100,14,1,1,"2019",5,6,-0.523326396238968,-0.168212055933954
10075,10099,1,"female",3,"Cliniclowns",1,"H",15,"female",100,14,1,0,"2019",5,6,-0.523326396238968,-0.168212055933954
