"IDself" "IDother"
10346 "88011"
10346 "10341"
10346 "10355"
10346 "88013"
10346 "10351"
10387 "88010"
10387 "10333"
10387 "10315"
10387 "10387"
10387 "10305"
10387 "10361"
10387 "10395"
10355 "10346"
10325 "10341"
10325 "10323"
10325 "88013"
10325 "10351"
10325 "10373"
10323 "10325"
10323 "10373"
10395 "88010"
10395 "10333"
10395 "10315"
10395 "10387"
10395 "10305"
10395 "10361"
10361 "88010"
10361 "10333"
10361 "10315"
10361 "10387"
10361 "10305"
10361 "10395"
10351 "10346"
10351 "88011"
10351 "10341"
10351 "10355"
10351 "88013"
10373 "10325"
10373 "10323"
10305 "88010"
10305 "10333"
10305 "10315"
10305 "10387"
10305 "10361"
10305 "10395"
10333 "88010"
10333 "10315"
10333 "10387"
10333 "10305"
10333 "10361"
10333 "10395"
10341 "10346"
10341 "10325"
10341 "88011"
10341 "10341"
10341 "10355"
10341 "88013"
10341 "10351"
10315 "88010"
10315 "10333"
10315 "10387"
10315 "10305"
10315 "10361"
10315 "10395"
