 "IDself"	"IDother"
12003	12003
12003	12008
12003	12004
12003	12017
12003	12021
12021	12003
12021	12008
12021	12004
12021	12017
12012	12002
12012	12007
12012	12011
12012	12018
12019	12010
12019	12014
12019	12006
12019	12005
12019	12009
12019	12019
12019	12022
12002	12002
12002	12007
12002	12011
12002	12018
12002	12012
12017	12015
12017	12003
12017	12008
12017	12004
12017	12021
12017	12016
12015	12001
12015	12016
12022	12010
12022	12014
12022	12006
12022	12005
12022	12009
12022	12019
12004	12015
12004	12002
12004	12003
12004	12007
12004	12008
12004	12004
12004	12011
12004	12018
12004	12017
12004	12012
12004	12021
12004	12016
12016	12015
12016	12008
12016	12001
12016	12017
12016	12016
12008	12008
12008	12004
12008	12017
12008	12021
12011	12002
12011	12007
12011	12018
12011	12012
12006	12010
12006	12014
12006	12018
12006	12005
12006	12022
12005	12010
12005	12014
12005	12006
12005	12009
12005	12022
12001	12015
12001	12016
12010	12014
12010	12006
12010	12005
12010	12009
12010	12022
12014	12010
12014	12005
12014	12009
12014	12022
12009	12010
12009	12014
12009	12006
12009	12005
12009	12009
12009	12022
12007	12002
12007	12011
12007	12018
12007	12012
12018	12002
12018	12007
12018	12011
12018	12012
