"IDself"	"IDother"
12305	12310
12305	12302
12305	12304
12305	12303
12317	12319
12317	12312
12317	12302
12317	12304
12317	12315
12317	12316
12314	12318
12314	12310
12314	12312
12314	NA
12314	88889
12314	12316
12314	12303
12308	12320
12308	12321
12308	12311
12308	12303
12308	12306
12308	12301
12303	12320
12303	12321
12303	NA
12303	12303
12303	12306
12303	12301
12316	12312
12316	NA
12316	12315
12316	12314
12310	12318
12310	12316
12304	88888
12304	12319
12304	12310
12304	12312
12304	12302
12304	NA
12304	12315
12304	12305
12304	12316
12319	88888
12319	12312
12319	12302
12319	12304
12319	NA
12319	12315
12319	12316
12309	12307
12302	88888
12302	12319
12302	12312
12302	12304
12302	NA
12302	12315
12302	12305
12312	12318
12312	12319
12312	12302
12312	12304
12312	NA
12312	88889
12312	12315
12312	12316
12312	12314
12301	12320
12301	12321
12301	NA
12318	12310
12318	12312
12318	88887
12318	12316
12318	12314
12315	88888
12315	12319
12315	12312
12315	12302
12315	12304
12315	NA
12315	12315
12315	12316
12320	12321
12320	12301
12311	NA
12311	12307
12311	12310
12311	NA
12311	88889
12311	12303
12311	12306
12321	12320
12321	12321
12321	12310
12321	NA
12321	12301
12307	NA
12307	12320
12307	12307
12307	12311
12307	12301
12306	12320
12306	12321
12306	12311
12306	NA
12306	12303
12306	12301
